sample_id,bm_1to1_dice,bm_coverage_dice,gap_dice,pq,sq,rq,tp,fp,fn,aji,semantic_dice,n_gt_cells,n_pred_cells,conflict_pixels
fffd016d_5500000014_63X_20190816_S2_P25_C5,0.6130066833217911,0.6286712664300274,0.015664583108236263,0.4179814186718007,0.6095562355630427,0.6857142857142857,12,5,6,0.533561381611501,0.8280732035636902,18,17,132254
160724ea_5500000013_63X_20190807_S1_P20_B2,0.5480208689424397,0.5682482806383031,0.020227411695863395,0.19161154220055207,0.6466889549268633,0.2962962962962963,4,9,10,0.4680354545999314,0.7783306837081909,14,13,69206
ed2c8e23_5500000014_63X_20190816_S2_P7_C3,0.6283205919069627,0.6283205919069627,0.0,0.2718260865422232,0.5436521730844464,0.5,4,4,4,0.44391486764817384,0.7288585901260376,8,8,73742
495da58d_5500000013_63X_20190807_S1_P2_B3,0.7195733243397716,0.7195733243397716,0.0,0.43022418981995214,0.602313865747933,0.7142857142857143,5,2,2,0.5666723149535432,0.7626229524612427,7,7,6689
1194e093_5500000013_63X_20190807_S2_P11_C2,0.6303034292125281,0.6375883708406879,0.007284941628159736,0.3773931059545202,0.5818143716798853,0.6486486486486487,12,6,7,0.31020671346539286,0.8417139649391174,19,18,141979
92dbf0f6_5500000014_63X_20190816_S1_P3_B2,0.6877654148179907,0.6834948681921551,-0.004270546625835592,0.5241177321375021,0.5241177321375021,1.0,1,0,0,0.5241177321375021,0.6877654194831848,1,1,0
f291b1be_5500000014_63X_20190816_S1_P27_B3,0.3295109664667183,0.3295109664667183,0.0,0.20102364540437495,0.6030709362131249,0.3333333333333333,1,1,3,0.1197972811390497,0.217780202627182,4,2,701
3a48403c_5500000013_63X_20190807_S2_P13_C3,0.541630149778165,0.5574733605371367,0.01584321075897166,0.19833769994282693,0.6148468698227635,0.3225806451612903,5,10,11,0.3882699349949766,0.7542663216590881,16,15,120847
3a3cf60a_5500000014_63X_20190816_S2_P14_C4,0.5729599304782063,0.5756557199419935,0.002695789463787235,0.31633853170466447,0.6010432102388625,0.5263157894736842,5,4,5,0.32484019685988375,0.649799644947052,10,9,43840
47977cd9_5500000014_63X_20190816_S2_P25_C4,0.6875019868906432,0.6875019868906432,0.0,0.3152804887739173,0.5675048797930511,0.5555555555555556,5,4,4,0.5304486444181895,0.8075498342514038,9,9,63887
b2fdc028_5500000014_63X_20190816_S2_P22_C3,0.6600728474861293,0.6600728474861293,0.0,0.33897459624312004,0.5649576604052001,0.6,9,6,6,0.5033843921365224,0.8469175696372986,15,15,123620
3db25077_5500000014_63X_20190816_S1_P25_B4,0.5580931682713195,0.5678718478596722,0.009778679588352657,0.3787088082447957,0.5996222797209265,0.631578947368421,12,6,8,0.39568837209301955,0.8177689909934998,20,18,93453
7c2b444b_5500000014_63X_20190816_S1_P10_B3,0.6566298746746699,0.6586348947512128,0.002005020076542907,0.4570303701588725,0.6202555023584698,0.7368421052631579,7,2,3,0.43590381584147525,0.6955599188804626,10,9,38462
f87c5a49_5500000014_63X_20190816_S1_P19_B5,0.7089622597761785,0.7089622597761785,0.0,0.47779653998144417,0.573355847977733,0.8333333333333334,5,1,1,0.5465574010135228,0.7594130039215088,6,6,11692
