epoch,total_epochs,train_loss,val_bm_dice,val_bm_cov,val_gap,val_pq,val_sem_dice,val_conflict,lr,is_best_pq,wall_hours
1,80,0.1323,0.6959,0.696,0.0,0.42,0.7758,46795,9e-05,True,
2,80,0.1298,0.6947,0.695,0.0003,0.4304,0.7795,47795,6.5e-05,True,
3,80,0.1262,0.7141,0.7146,0.0005,0.4633,0.7966,56199,3.5e-05,True,
4,80,0.1239,0.7082,0.7085,0.0003,0.4555,0.7868,48282,1e-05,False,
5,80,0.1263,0.7194,0.7197,0.0003,0.4871,0.8023,54737,0.0001,True,
6,80,0.134,0.7039,0.7041,0.0002,0.4462,0.79,52892,9.8e-05,False,
7,80,0.1341,0.7274,0.7278,0.0004,0.5002,0.8213,74203,9e-05,True,
8,80,0.1307,0.7085,0.7088,0.0004,0.4449,0.7927,53654,7.9e-05,False,
9,80,0.1283,0.7214,0.7214,0.0,0.4811,0.8097,64423,6.5e-05,False,
10,80,0.1268,0.7178,0.7178,0.0,0.48,0.7994,56637,5e-05,False,
11,80,0.1238,0.7207,0.7208,0.0001,0.4817,0.8034,54190,3.5e-05,False,
12,80,0.1248,0.713,0.713,0.0,0.4771,0.7933,50235,2.1e-05,False,
13,80,0.129,0.7243,0.7243,0.0,0.4903,0.806,55323,1e-05,False,
14,80,0.1267,0.7221,0.7222,0.0,0.4958,0.8038,53416,2e-06,False,
15,80,0.1244,0.7226,0.7226,0.0,0.4957,0.8034,52975,0.0001,False,
16,80,0.1305,0.705,0.7051,0.0001,0.4458,0.7846,51073,9.9e-05,False,
17,80,0.1295,0.7082,0.7082,0.0,0.4598,0.7841,47102,9.8e-05,False,
18,80,0.1252,0.701,0.7013,0.0004,0.4231,0.777,43145,9.5e-05,False,
19,80,0.1219,0.7253,0.7255,0.0002,0.4889,0.808,60211,9e-05,False,
20,80,0.123,0.7182,0.7182,0.0,0.4808,0.7968,53292,8.5e-05,False,
21,80,0.1258,0.728,0.7281,0.0,0.5003,0.812,64422,7.9e-05,True,
22,80,0.1248,0.7343,0.7343,0.0,0.5139,0.8197,66672,7.3e-05,True,
23,80,0.1263,0.7209,0.7212,0.0003,0.4863,0.7966,52937,6.5e-05,False,
24,80,0.1222,0.7152,0.7153,0.0,0.4773,0.7913,49570,5.8e-05,False,
25,80,0.1245,0.7224,0.7226,0.0002,0.4939,0.8029,53554,5e-05,False,
26,80,0.1229,0.721,0.7211,0.0002,0.4865,0.7995,51313,4.2e-05,False,
27,80,0.1265,0.7176,0.7176,0.0,0.48,0.7959,50348,3.5e-05,False,
28,80,0.1253,0.7194,0.7194,0.0,0.4832,0.7957,49462,2.7e-05,False,
29,80,0.1204,0.7252,0.7252,0.0,0.5001,0.8043,54300,2.1e-05,False,
30,80,0.121,0.727,0.727,0.0,0.5059,0.8053,54666,1.5e-05,False,
31,80,0.1203,0.7241,0.7241,0.0,0.5004,0.8025,53331,1e-05,False,
32,80,0.1228,0.729,0.729,0.0,0.5134,0.8064,54398,5e-06,False,
33,80,0.1186,0.7269,0.7269,0.0,0.5016,0.8043,53596,2e-06,False,
34,80,0.1227,0.7253,0.7253,0.0,0.5008,0.8023,52091,1e-06,False,
36,80,0.1235,0.7281,0.7281,0.0,0.5008,0.8099,57933,0.0001,False,
37,80,0.1262,0.7048,0.7049,0.0,0.4406,0.7836,45891,9.9e-05,False,
