epoch,total_epochs,train_loss,val_bm_dice,val_bm_cov,val_gap,val_pq,val_sem_dice,val_conflict,lr,is_best_pq,wall_hours
1,80,0.1324,0.7138,0.7145,0.0007,0.4704,0.8025,59118,9e-05,True,
2,80,0.1338,0.7023,0.7025,0.0002,0.4451,0.787,53454,6.5e-05,False,
3,80,0.126,0.7137,0.7139,0.0001,0.4653,0.8008,57634,3.5e-05,False,
4,80,0.1206,0.7093,0.7095,0.0002,0.4618,0.7904,48506,1e-05,False,
5,80,0.1216,0.7157,0.7159,0.0002,0.4766,0.7979,51585,0.0001,True,
6,80,0.128,0.6944,0.6946,0.0002,0.4098,0.7783,50374,9.8e-05,False,
7,80,0.1248,0.7081,0.7081,0.0,0.4604,0.7942,56518,9e-05,False,
8,80,0.1248,0.7145,0.7149,0.0004,0.4675,0.8034,60014,7.9e-05,False,
9,80,0.1313,0.7177,0.7177,0.0,0.4822,0.8016,55646,6.5e-05,True,
11,80,0.1305,0.7123,0.7123,0.0,0.4734,0.7919,50117,3.5e-05,False,
12,80,0.1216,0.7212,0.7212,0.0,0.4853,0.8013,53293,2.1e-05,True,
13,80,0.1247,0.7266,0.7266,0.0,0.5017,0.8096,56851,1e-05,True,
14,80,0.1209,0.7217,0.7217,0.0,0.491,0.8015,51894,2e-06,False,
15,80,0.1172,0.7231,0.7231,0.0,0.4915,0.8031,52854,0.0001,False,
16,80,0.1303,0.7077,0.7077,0.0,0.4535,0.7923,53709,9.9e-05,False,
17,80,0.1287,0.7138,0.7138,0.0,0.4625,0.7936,51392,9.8e-05,False,
18,80,0.1263,0.7202,0.7202,0.0,0.4834,0.8033,58418,9.5e-05,False,
19,80,0.1258,0.7188,0.7188,0.0,0.4842,0.8098,61477,9e-05,False,
20,80,0.1227,0.7017,0.7022,0.0004,0.4338,0.7795,47376,8.5e-05,False,
21,80,0.1275,0.7243,0.7243,0.0,0.4963,0.8079,58680,7.9e-05,False,
22,80,0.1271,0.7192,0.7195,0.0004,0.4834,0.8,53393,7.3e-05,False,
23,80,0.125,0.7239,0.7241,0.0002,0.4907,0.8056,56802,6.5e-05,False,
24,80,0.1254,0.7119,0.7119,0.0,0.466,0.7895,49306,5.8e-05,False,
25,80,0.1233,0.7233,0.7233,0.0,0.4974,0.8036,54816,5e-05,False,
26,80,0.1221,0.7246,0.7246,0.0,0.4953,0.8034,54879,4.2e-05,False,
27,80,0.1218,0.7228,0.7228,0.0,0.4927,0.8012,52608,3.5e-05,False,
