epoch,total_epochs,train_loss,val_bm_dice,val_bm_cov,val_gap,val_pq,val_sem_dice,val_conflict,lr,is_best_pq,wall_hours
1,80,0.1347,0.7061,0.7064,0.0003,0.4418,0.795,55399,9e-05,True,
2,80,0.1263,0.6998,0.7001,0.0003,0.4194,0.7842,51471,6.5e-05,False,
3,80,0.1293,0.71,0.7103,0.0003,0.4584,0.7947,53035,3.5e-05,True,
4,80,0.1235,0.7202,0.7204,0.0002,0.4854,0.8069,59193,1e-05,True,
5,80,0.1251,0.7171,0.7173,0.0002,0.4811,0.7997,52534,0.0001,False,
6,80,0.1297,0.7041,0.7048,0.0007,0.4419,0.7884,53096,9.8e-05,False,
7,80,0.1272,0.7163,0.7166,0.0003,0.4712,0.8028,58977,9e-05,False,
8,80,0.1279,0.7281,0.7287,0.0006,0.5072,0.8167,67398,7.9e-05,True,
9,80,0.1301,0.703,0.7033,0.0003,0.4354,0.7829,46781,6.5e-05,False,
10,80,0.1283,0.723,0.7232,0.0002,0.4901,0.8102,60618,5e-05,False,
11,80,0.1276,0.719,0.719,0.0,0.4812,0.8023,55666,3.5e-05,False,
12,80,0.1311,0.7255,0.7255,0.0,0.4893,0.8083,57739,2.1e-05,False,
14,80,0.1269,0.7271,0.7271,0.0,0.4987,0.8105,57148,2e-06,False,
15,80,0.1227,0.7213,0.7213,0.0,0.4877,0.8027,52392,0.0001,False,
16,80,0.1286,0.7189,0.719,0.0001,0.4765,0.805,59750,9.9e-05,False,
17,80,0.1283,0.7052,0.7052,0.0,0.4447,0.7908,50950,9.8e-05,False,
18,80,0.1264,0.7228,0.7228,0.0001,0.4885,0.8073,60168,9.5e-05,False,
19,80,0.129,0.7056,0.7059,0.0003,0.4464,0.79,52787,9e-05,False,
20,80,0.131,0.7283,0.7284,0.0001,0.4986,0.8163,64753,8.5e-05,False,
21,80,0.1319,0.72,0.7202,0.0002,0.4834,0.8055,59011,7.9e-05,False,
22,80,0.1218,0.7185,0.7189,0.0003,0.4762,0.8012,56701,7.3e-05,False,
23,80,0.122,0.7128,0.7128,0.0,0.4702,0.7918,48803,6.5e-05,False,
